X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,hidden,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,health_amenity_type,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type
38.8225488973428,9.01591322181841,8041344681,node,12,,pharmacy,,,,,92977631,,,,5df1835316b54c1ba6c7cb159c232e40,,,,,,0,1,,2020/10/24 03:45:02,,,,,,,Adex71,,,,yes,pharmacy,
,,787549839,way,15,,hospital,,,,,85565563,,,,04985b83d0aa47a5b10b45be8313b70b,,,,,,0,2,,2020/05/21 16:42:05,,,,Hawassa,dfffff,,WorldStar007,,,,,hospital,
,,787549760,way,9,,,,,,,85600511,,,,2081ed0fc9e54345a763c1d2c3ab23fe,,,,,,0,3,,2020/05/22 09:24:55,,,,,General- and Eyeclinic,,Ambassador_Spock,,,,,hospital,
37.5440950924891,5.99910835461483,4973823121,node,6,,clinic,,,,,50329143,,,,939081f41ee34553a541d903acda3f85,,,,,,0,1,,2017/07/16 15:53:40,,,,,,,Tewodros Berihun,,,,,,
39.3558299685801,8.14998836033229,6937293785,node,9,,pharmacy,,,,,76496150,,,,9b7c9f1cbdd045fb9ed10ebae7b8c11a,,,,,,0,1,,2019/11/01 13:16:32,,,,,ኤርሞን መድሀኒት መደብር,,Nicodimos,,,,,,
39.7704245481658,13.6386798405932,5964833686,node,6,,doctors,,,,,110983465,,,,b8756ca9972b424eb6993e1e7f4ec2e2,,,,,,0,2,,2021/09/09 15:45:00,,,,,,,osm_saint-louis,,,,,,
42.0166991615391,9.38799462087002,6782305133,node,9,,pharmacy,,,,,74250336,,,,e9adf83b11b84fa3b3d77bb54e1ca7ed,,,,,,0,1,,2019/09/09 08:59:38,,,,,Bekan Pharmacy,,Metasebia,,,,,,
38.7855115303329,9.00424016436384,3293032960,node,15,,pharmacy,,,,,92494003,,,,d161d29ec89a4d28a5c74e4c6ff444a0,,,,,,0,2,,2020/10/14 21:39:27,,,,,Nile Pharmacy,,Kalepom,,,,no,pharmacy,
42.1236526651283,9.30711637986332,6786410567,node,9,,pharmacy,,,,,74324803,,,,70716fcac9184554a0544c5777cef258,,,,,,0,1,,2019/09/10 18:21:11,,,,,Yohannes Pharmacy,,Metasebia,,,,,,
38.7662551974392,8.96016157959301,6718704362,node,9,,pharmacy,,,,,73447002,,,,e87d23cd2d354e0c831e28a41e987006,,,,,,0,1,,2019/08/17 16:43:31,,,,,Solomon Hilu Pharmacy,,Metasebia,,,,,,
